         55880329 function calls (55871021 primitive calls) in 89.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      184    0.001    0.000    0.010    0.000 ansitowin32.py:73(__init__)
      111    0.001    0.000    0.006    0.000 abs.py:100(random_position)
     1170    0.001    0.000    0.002    0.000 _utils.py:16(register)
      300    0.001    0.000    0.003    0.000 agents.py:261(__init__)
       30    0.001    0.000    0.004    0.000 context.py:578(resolve_overload)
     2342    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     5652    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1253    0.001    0.000    0.001    0.000 abstract.py:121(__eq__)
      222    0.001    0.000    0.001    0.000 _methods.py:87(_clip_dep_invoke_with_casting)
       34    0.001    0.000    0.012    0.000 functions.py:280(get_call_type)
       80    0.001    0.000    0.001    0.000 instructions.py:64(__init__)
     2342    0.001    0.000    0.001    0.000 abc.py:96(__instancecheck__)
      488    0.000    0.000    0.001    0.000 typeconv.py:43(check_compatible)
      222    0.000    0.000    0.004    0.000 fromnumeric.py:39(_wrapit)
       44    0.000    0.000    0.115    0.003 compiler_machinery.py:259(_runPass)
      632    0.000    0.000    0.001    0.000 numpy_support.py:331(ufunc_can_cast)
      438    0.000    0.000    0.001    0.000 contextlib.py:82(__init__)
      700    0.000    0.000    0.001    0.000 builder.py:338(_insert)
        9    0.000    0.000    0.001    0.000 graph_abs.py:44(<listcomp>)
      192    0.000    0.000    0.001    0.000 numpy_support.py:119(as_dtype)
     1020    0.000    0.000    0.001    0.000 util.py:54(work_time)
 1176/920    0.000    0.000    0.005    0.000 {built-in method builtins.next}
       92    0.000    0.000    0.011    0.000 errors.py:275(_markup)
      718    0.000    0.000    0.001    0.000 values.py:239(_get_reference)
     1020    0.000    0.000    0.000    0.000 util.py:33(day_of_week)
      222    0.000    0.000    0.003    0.000 _methods.py:106(_clip)
1670/1662    0.000    0.000    0.002    0.000 {method 'join' of 'str' objects}
        8    0.000    0.000    0.001    0.000 postproc.py:175(_patch_var_dels)
       64    0.000    0.000    0.006    0.000 npydecl.py:96(generic)
      624    0.000    0.000    0.002    0.000 context.py:503(can_convert)
  438/312    0.000    0.000    0.001    0.000 contextlib.py:117(__exit__)
       80    0.000    0.000    0.001    0.000 instructions.py:112(_descr)
     1500    0.000    0.000    0.000    0.000 graph_abs.py:155(<lambda>)
      444    0.000    0.000    0.001    0.000 fromnumeric.py:3075(ndim)
      745    0.000    0.000    0.001    0.000 abstract.py:118(__hash__)
     2700    0.000    0.000    0.000    0.000 agents.py:273(is_unemployed)
      412    0.000    0.000    0.001    0.000 weakref.py:382(__getitem__)
     1020    0.000    0.000    0.001    0.000 util.py:62(free_time)
