         20998046 function calls (20938228 primitive calls) in 12.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.002    0.000    0.008    0.001 postproc.py:175(_patch_var_dels)
       44    0.002    0.000    0.006    0.000 analysis.py:118(compute_dead_maps)
     2240    0.002    0.000    0.003    0.000 contextlib.py:82(__init__)
     2917    0.002    0.000    0.017    0.000 abs.py:319(filter_stats)
      121    0.002    0.000    0.003    0.000 analysis.py:81(def_reach)
     8674    0.002    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
9813/9787    0.002    0.000    0.007    0.000 {method 'join' of 'str' objects}
      426    0.002    0.000    0.006    0.000 instructions.py:112(_descr)
     2054    0.002    0.000    0.004    0.000 values.py:120(__init__)
5747/4709    0.002    0.000    0.025    0.000 {built-in method builtins.next}
    11383    0.002    0.000    0.002    0.000 _utils.py:13(is_used)
      993    0.002    0.000    0.010    0.000 builder.py:748(store)
     8674    0.002    0.000    0.005    0.000 abc.py:96(__instancecheck__)
    13283    0.002    0.000    0.002    0.000 fromnumeric.py:2100(_sum_dispatcher)
      110    0.002    0.000    0.006    0.000 numpy_support.py:349(ufunc_find_matching_loop)
    14707    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
    15702    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
        3    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
      390    0.002    0.000    0.004    0.000 nrtopt.py:29(_extract_functions)
      537    0.002    0.000    0.004    0.000 nrtopt.py:120(_move_and_group_decref_after_all_increfs)
    20990    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
     2276    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      393    0.002    0.000    0.116    0.000 lowering.py:321(lower_inst)
     1320    0.002    0.000    0.005    0.000 types.py:77(__call__)
     8385    0.002    0.000    0.005    0.000 {method 'get' of 'dict' objects}
      959    0.001    0.000    0.008    0.000 builder.py:735(load)
2240/1748    0.001    0.000    0.006    0.000 contextlib.py:117(__exit__)
     2042    0.001    0.000    0.001    0.000 enum.py:351(__iter__)
        4    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
      334    0.001    0.000    0.038    0.000 errors.py:275(_markup)
     2686    0.001    0.000    0.002    0.000 containers.py:449(key)
      537    0.001    0.000    0.005    0.000 nrtopt.py:93(_prune_redundant_refct_ops)
     3745    0.001    0.000    0.003    0.000 nrtopt.py:79(_examine_refct_op)
3049/2652    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
      112    0.001    0.000    0.006    0.000 analysis.py:235(compute_cfg_from_blocks)
      542    0.001    0.000    0.017    0.000 context.py:197(_call_incref_decref)
     1130    0.001    0.000    0.003    0.000 nrtopt.py:55(_extract_basic_blocks)
     4234    0.001    0.000    0.024    0.000 ir.py:346(list_vars)
      993    0.001    0.000    0.004    0.000 instructions.py:418(descr)
     1440    0.001    0.000    0.003    0.000 <ipython-input-2-e9d626f85c55>:14(sleep)
      300    0.001    0.000    0.001    0.000 {method 'beta' of 'numpy.random.mtrand.RandomState' objects}
      530    0.001    0.000    0.005    0.000 context.py:528(_rate_arguments)
      379    0.001    0.000    0.005    0.000 instructions.py:492(__init__)
 1609/954    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
     4084    0.001    0.000    0.001    0.000 graph_abs.py:324(<lambda>)
      315    0.001    0.000    0.014    0.000 cgutils.py:362(alloca_once)
      378    0.001    0.000    0.009    0.000 cgutils.py:865(gep)
       44    0.001    0.000    0.002    0.000 analysis.py:190(compute_live_variables)
     7147    0.001    0.000    0.001    0.000 enum.py:659(name)
     1194    0.001    0.000    0.001    0.000 controlflow.py:366(_add_edge)
2360/2326    0.001    0.000    0.025    0.000 {built-in method builtins.any}
      411    0.001    0.000    0.003    0.000 agents.py:44(__init__)
      300    0.001    0.000    0.005    0.000 graph_abs.py:82(create_agent)
     5592    0.001    0.000    0.001    0.000 controlflow.py:124(predecessors)
1989/1944    0.001    0.000    0.010    0.000 manager.py:22(lookup)
      892    0.001    0.000    0.002    0.000 os.py:670(__getitem__)
       34    0.001    0.000    0.121    0.004 lowering.py:220(lower_block)
2240/1721    0.001    0.000    0.020    0.000 contextlib.py:108(__enter__)
      668    0.001    0.000    0.034    0.000 initialise.py:74(wrap_stream)
     9180    0.001    0.000    0.001    0.000 graph_abs.py:246(<lambda>)
      520    0.001    0.000    0.051    0.000 values.py:799(<listcomp>)
      959    0.001    0.000    0.003    0.000 instructions.py:398(descr)
     1021    0.001    0.000    0.001    0.000 graph_abs.py:317(<listcomp>)
     5182    0.001    0.000    0.001    0.000 controlflow.py:116(successors)
      660    0.001    0.000    0.002    0.000 agents.py:147(update)
  821/604    0.001    0.000    0.187    0.000 templates.py:343(apply)
