         64548025 function calls (64512997 primitive calls) in 110.192 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2882    0.010    0.000    0.017    0.000 cast.py:1568(construct_1d_object_array_from_listlike)
    51876    0.010    0.000    0.010    0.000 {built-in method builtins.hasattr}
    20174    0.010    0.000    0.030    0.000 managers.py:1846(_asarray_compat)
     2882    0.009    0.000    0.014    0.000 inference.py:391(is_dataclass)
     5764    0.009    0.000    0.021    0.000 common.py:218(asarray_tuplesafe)
    25279    0.009    0.000    0.009    0.000 {method 'format' of 'str' objects}
    13283    0.009    0.000    0.282    0.000 <__array_function__ internals>:2(sum)
     2882    0.009    0.000    0.042    0.000 managers.py:132(__init__)
    20174    0.009    0.000    0.039    0.000 construction.py:339(extract_array)
     2882    0.008    0.000    0.035    0.000 base.py:5724(_maybe_cast_data_without_dtype)
    11528    0.008    0.000    0.025    0.000 base.py:5654(maybe_extract_name)
     2882    0.008    0.000    0.059    0.000 blocks.py:124(__init__)
     2882    0.008    0.000    0.027    0.000 managers.py:321(_verify_integrity)
    29486    0.008    0.000    0.022    0.000 _asarray.py:14(asarray)
     2882    0.007    0.000    1.161    0.000 construction.py:732(<listcomp>)
     5764    0.007    0.000    0.032    0.000 common.py:1330(is_bool_dtype)
    11528    0.007    0.000    0.007    0.000 {built-in method _abc._abc_instancecheck}
    20174    0.007    0.000    0.010    0.000 common.py:149(cast_scalar_indexer)
     2882    0.007    0.000    0.011    0.000 construction.py:651(_validate_or_indexify_columns)
    31702    0.007    0.000    0.010    0.000 common.py:180(<lambda>)
     2882    0.007    0.000    0.010    0.000 base.py:463(_simple_new)
     2882    0.007    0.000    0.118    0.000 blocks.py:2701(make_block)
    23056    0.007    0.000    0.009    0.000 range.py:687(__len__)
    40348    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
     2882    0.006    0.000    1.133    0.000 construction.py:60(arrays_to_mgr)
    25938    0.006    0.000    0.006    0.000 _dtype.py:24(_kind_name)
    11528    0.006    0.000    0.012    0.000 common.py:422(is_timedelta64_dtype)
     2882    0.006    0.000    0.006    0.000 generic.py:195(__init__)
    31702    0.006    0.000    0.006    0.000 common.py:178(classes)
     1441    0.006    0.000    0.010    0.000 abs.py:318(<dictcomp>)
     2882    0.006    0.000    0.049    0.000 base.py:5648(default_index)
     6000    0.006    0.000    0.008    0.000 agents.py:240(update)
     5764    0.006    0.000    0.011    0.000 common.py:1565(_get_dtype)
     2882    0.006    0.000    0.015    0.000 range.py:134(_simple_new)
     8646    0.005    0.000    0.014    0.000 common.py:1296(is_float_dtype)
     1441    0.005    0.000    0.008    0.000 abs.py:320(<dictcomp>)
     8646    0.005    0.000    0.010    0.000 {built-in method builtins.all}
     5764    0.005    0.000    0.011    0.000 common.py:750(is_signed_integer_dtype)
    11528    0.005    0.000    0.006    0.000 common.py:905(is_datetime64_any_dtype)
     7147    0.005    0.000    0.006    0.000 types.py:171(__get__)
     2882    0.004    0.000    0.007    0.000 managers.py:683(_consolidate_check)
     2882    0.004    0.000    0.011    0.000 managers.py:212(shape)
     8646    0.004    0.000    0.006    0.000 common.py:1733(pandas_dtype)
     8178    0.004    0.000    0.004    0.000 fromnumeric.py:71(<dictcomp>)
    11528    0.004    0.000    0.006    0.000 inference.py:322(is_hashable)
      521    0.004    0.000    0.006    0.000 agents.py:186(append_mate)
     2882    0.004    0.000    0.022    0.000 abs.py:316(filter_stats)
    25938    0.004    0.000    0.004    0.000 {pandas._libs.lib.is_scalar}
    10210    0.004    0.000    0.004    0.000 enum.py:352(<genexpr>)
     5764    0.004    0.000    0.009    0.000 common.py:806(is_unsigned_integer_dtype)
     2882    0.004    0.000    0.006    0.000 common.py:190(all_none)
     2882    0.004    0.000    0.004    0.000 _asarray.py:298(<setcomp>)
    11528    0.003    0.000    0.011    0.000 abc.py:96(__instancecheck__)
    14410    0.003    0.000    0.005    0.000 common.py:188(<lambda>)
     2882    0.003    0.000    0.016    0.000 base.py:5670(_maybe_cast_with_dtype)
    20174    0.003    0.000    0.003    0.000 managers.py:1830(<lambda>)
     5764    0.003    0.000    0.004    0.000 common.py:150(ensure_python_int)
     2882    0.003    0.000    0.005    0.000 {pandas._libs.lib.is_list_like}
    20174    0.003    0.000    0.003    0.000 multiarray.py:1043(copyto)
    20174    0.003    0.000    0.003    0.000 {pandas._libs.lib.is_float}
     2882    0.003    0.000    1.164    0.000 construction.py:709(_convert_object_array)
     8646    0.003    0.000    0.003    0.000 base.py:567(__len__)
    14410    0.003    0.000    0.003    0.000 common.py:183(classes_and_not_datetimelike)
     2882    0.003    0.000    0.005    0.000 managers.py:138(<listcomp>)
        1    0.003    0.003    0.029    0.029 graph_abs.py:89(initialize)
     2882    0.002    0.000    0.006    0.000 common.py:696(is_integer_dtype)
     5764    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFC850CB810}
     2882    0.002    0.000    0.007    0.000 base.py:1182(name)
     2042    0.002    0.000    0.002    0.000 enum.py:351(__iter__)
     5764    0.002    0.000    0.002    0.000 base.py:544(_reset_identity)
     5764    0.002    0.000    0.003    0.000 managers.py:323(<genexpr>)
     8646    0.002    0.000    0.003    0.000 managers.py:1680(<genexpr>)
     1440    0.002    0.000    0.004    0.000 <ipython-input-10-e9d626f85c55>:14(sleep)
     8646    0.002    0.000    0.007    0.000 managers.py:214(<genexpr>)
     2882    0.002    0.000    0.004    0.000 dataclasses.py:1045(is_dataclass)
     5764    0.002    0.000    0.002    0.000 construction.py:682(<genexpr>)
      300    0.002    0.000    0.007    0.000 graph_abs.py:71(create_agent)
     2882    0.002    0.000    0.002    0.000 blocks.py:135(_check_ndim)
     1021    0.002    0.000    0.002    0.000 graph_abs.py:312(<listcomp>)
     2882    0.002    0.000    0.009    0.000 managers.py:675(is_consolidated)
    13283    0.002    0.000    0.002    0.000 fromnumeric.py:2100(_sum_dispatcher)
     2882    0.002    0.000    0.004    0.000 base.py:4196(equals)
     7147    0.002    0.000    0.002    0.000 enum.py:659(name)
     2882    0.002    0.000    0.002    0.000 managers.py:684(<listcomp>)
    11060    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     2882    0.002    0.000    0.004    0.000 managers.py:1852(_shape_compat)
     2882    0.002    0.000    0.011    0.000 managers.py:977(_consolidate_inplace)
     4084    0.001    0.000    0.001    0.000 graph_abs.py:319(<lambda>)
        1    0.001    0.001  110.191  110.191 no_graphics.py:49(execute_simulation)
     2882    0.001    0.000    0.002    0.000 base.py:520(is_)
     2400    0.001    0.000    0.002    0.000 util.py:50(bed_time)
     1440    0.001    0.000    0.006    0.000 <ipython-input-12-8797cbc709dd>:6(<lambda>)
        1    0.001    0.001  110.192  110.192 <string>:1(<module>)
     5764    0.001    0.000    0.001    0.000 common.py:194(<genexpr>)
